class_name,positive_rate,positive_percent,num_positive_segments,num_total_segments
footsteps,0.130225453075684,13.0225453075684,21909,168239
running_water,0.1295181259993224,12.95181259993224,21790,168239
keyboard_typing,0.0935217161300293,9.35217161300293,15734,168239
microwave,0.07369872621687004,7.369872621687004,12399,168239
vacuum_cleaner,0.06568037137643472,6.568037137643472,11050,168239
phone_ringing,0.06522268915055368,6.522268915055368,10973,168239
cutlery_dishes,0.06199513786934064,6.199513786934064,10430,168239
keychain,0.048930390694191,4.8930390694191,8232,168239
door_open_close,0.0396162602012613,3.96162602012613,6665,168239
coffee_machine,0.03915857797538026,3.915857797538026,6588,168239
toilet_flushing,0.03305416698862927,3.305416698862927,5561,168239
wardrobe_drawer_open_close,0.021933083292221184,2.1933083292221185,3690,168239
window_open_close,0.0138790649017172,1.38790649017172,2335,168239
bell_ringing,0.013486765850962024,1.3486765850962024,2269,168239
light_switch,0.0041250839579407865,0.41250839579407866,694,168239
