split,class_name,positive_rate,positive_percent,num_positive_segments,num_segments
train,bell_ringing,0.012670167745882832,1.2670167745882832,1491,117678
train,coffee_machine,0.03705025578272914,3.7050255782729145,4360,117678
train,cutlery_dishes,0.06270500858274274,6.270500858274273,7379,117678
train,door_open_close,0.039812029436258264,3.9812029436258265,4685,117678
train,footsteps,0.1336698448308095,13.366984483080948,15730,117678
train,keyboard_typing,0.09217525790717042,9.217525790717042,10847,117678
train,keychain,0.0475449956661398,4.754499566613981,5595,117678
train,light_switch,0.004121416067574228,0.4121416067574228,485,117678
train,microwave,0.07410900933054607,7.410900933054607,8721,117678
train,phone_ringing,0.06382671357432995,6.382671357432995,7511,117678
train,running_water,0.13027073879569673,13.027073879569674,15330,117678
train,toilet_flushing,0.03263991570217033,3.2639915702170326,3841,117678
train,vacuum_cleaner,0.06327435884362413,6.327435884362413,7446,117678
train,wardrobe_drawer_open_close,0.02189874063121399,2.189874063121399,2577,117678
train,window_open_close,0.013978823569401248,1.3978823569401249,1645,117678
validation,bell_ringing,0.01707239962061334,1.707239962061334,432,25304
validation,coffee_machine,0.040191274106860575,4.019127410686058,1017,25304
validation,cutlery_dishes,0.05746127094530509,5.746127094530509,1454,25304
validation,door_open_close,0.041218779639582676,4.121877963958267,1043,25304
validation,footsteps,0.11994151122352198,11.994151122352198,3035,25304
validation,keyboard_typing,0.09504426177679419,9.504426177679418,2405,25304
validation,keychain,0.052481821055959534,5.248182105595953,1328,25304
validation,light_switch,0.003951944356623459,0.3951944356623459,100,25304
validation,microwave,0.07429655390452103,7.429655390452103,1880,25304
validation,phone_ringing,0.06358678469807146,6.3586784698071455,1609,25304
validation,running_water,0.12081093898197913,12.081093898197913,3057,25304
validation,toilet_flushing,0.034698071451153965,3.4698071451153965,878,25304
validation,vacuum_cleaner,0.07722099272842238,7.722099272842238,1954,25304
validation,wardrobe_drawer_open_close,0.0210243439772368,2.10243439772368,532,25304
validation,window_open_close,0.01395036357888081,1.395036357888081,353,25304
test,bell_ringing,0.013699172506631824,1.3699172506631825,346,25257
test,coffee_machine,0.04794710377321139,4.794710377321139,1211,25257
test,cutlery_dishes,0.06322999564477175,6.322999564477175,1597,25257
test,door_open_close,0.037098626123450926,3.7098626123450926,937,25257
test,footsteps,0.12448034208338282,12.448034208338282,3144,25257
test,keyboard_typing,0.09826978659381558,9.826978659381558,2482,25257
test,keychain,0.051827216217286295,5.182721621728629,1309,25257
test,light_switch,0.004315635269430257,0.4315635269430257,109,25257
test,microwave,0.07118818545353764,7.118818545353764,1798,25257
test,phone_ringing,0.07336579958031436,7.336579958031436,1853,25257
test,running_water,0.13473492497129508,13.473492497129508,3403,25257
test,toilet_flushing,0.03333729263174565,3.333729263174565,842,25257
test,vacuum_cleaner,0.06532842380330206,6.532842380330206,1650,25257
test,wardrobe_drawer_open_close,0.023003523775586968,2.300352377558697,581,25257
test,window_open_close,0.013342835649522905,1.3342835649522904,337,25257
