class_name,train,validation,test
bell_ringing,1.2670167745882832,1.707239962061334,1.3699172506631825
coffee_machine,3.7050255782729145,4.019127410686058,4.794710377321139
cutlery_dishes,6.270500858274273,5.746127094530509,6.322999564477175
door_open_close,3.9812029436258265,4.121877963958267,3.7098626123450926
footsteps,13.366984483080948,11.994151122352198,12.448034208338282
keyboard_typing,9.217525790717042,9.504426177679418,9.826978659381558
keychain,4.754499566613981,5.248182105595953,5.182721621728629
light_switch,0.4121416067574228,0.3951944356623459,0.4315635269430257
microwave,7.410900933054607,7.429655390452103,7.118818545353764
phone_ringing,6.382671357432995,6.3586784698071455,7.336579958031436
running_water,13.027073879569674,12.081093898197913,13.473492497129508
toilet_flushing,3.2639915702170326,3.4698071451153965,3.333729263174565
vacuum_cleaner,6.327435884362413,7.722099272842238,6.532842380330206
wardrobe_drawer_open_close,2.189874063121399,2.10243439772368,2.300352377558697
window_open_close,1.3978823569401249,1.395036357888081,1.3342835649522904
